batch_start,batch_end,mean_drift_score,ema_drift_score,adaptation_alpha,signature_weight,random_forest_weight,lstm_weight,transformer_weight,stacked_meta_weight,rolling_attack_rate,bias
2694208,2698304,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4466,-0.0525
2698304,2700000,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4458,-0.0533
2700000,2704096,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4449,-0.0542
2704096,2708192,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4442,-0.0549
2708192,2712288,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4438,-0.0553
2712288,2716384,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4434,-0.0557
2716384,2720480,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.443,-0.0561
2720480,2724576,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4426,-0.0565
2724576,2728672,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4423,-0.0567
2728672,2732768,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.442,-0.0571
2732768,2736864,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.442,-0.0571
2736864,2740960,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4421,-0.057
2740960,2745056,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4423,-0.0568
2745056,2749152,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4422,-0.0569
2749152,2753248,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4422,-0.0569
2753248,2757344,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4421,-0.057
2757344,2761440,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4418,-0.0573
2761440,2765536,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4416,-0.0575
2765536,2769632,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4413,-0.0578
2769632,2773728,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4412,-0.0579
2773728,2777824,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.441,-0.058
2777824,2781920,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4408,-0.0583
2781920,2786016,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4408,-0.0583
2786016,2790112,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4411,-0.058
2790112,2794208,0.9999,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4412,-0.0579
2794208,2798304,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4412,-0.0579
2798304,2800000,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4409,-0.0582
2800000,2804096,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4411,-0.0579
2804096,2808192,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4413,-0.0578
2808192,2812288,0.9998,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4414,-0.0576
2812288,2816384,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4415,-0.0576
2816384,2820480,1.0,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4417,-0.0574
2820480,2824576,0.9999,0.9999,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4418,-0.0572
2824576,2828672,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4419,-0.0572
2828672,2830743,1.0,1.0,1.0,0.0948,0.1988,0.1453,0.2949,0.2662,0.4419,-0.0572
