Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Latency (ms/flow)
Random Forest,90.46,92.05,90.46,90.69,0.9839,0.0094
Transformer,85.26,88.96,85.26,85.73,0.974,0.5292
LSTM,71.0,81.82,71.0,71.84,0.8722,0.3965
